"url","url_self_link","title","publication_date","update_date","share_fb_like","share_fb_share","share_googleplus","share_twitter","share_others","article_language","lesbahet","news_bureau","external_links","internal_links","word_count","line_count","char_count","factbox","comment_fields","comment_number","interactive_elements","poll","game","video_files","video_files_nrk","flash_file","image_collection","images","related_stories","related_stories_box_thematic","related_stories_box_les","map","regional_office","program_related","main_news_category","iframe","css","js","template"
"http://www.nrk.no/nyheter/norge/1.11415879","http://www.nrk.no/norge/1.11415879","Nav snur om enkepensjonen: Alle får det de har krav på","2013-12-13 12:34:47","2013-12-13 19:54:53",0,2,2,2,0,"no",41.0278,NULL,0,6,1071,50,5971,1,0,0,9,NULL,NULL,0,1,0,0,6,6,0,6,0,"NRK Norge","NA","Norge",0,181178,22128,"ny2013"
"http://www.nrk.no/nyheter/norge/1.11416228","http://www.nrk.no/norge/1.11416228","– Helt fantastisk å få slikt gjennomslag","2013-12-13 12:34:37",NULL,0,2,2,2,0,"no",35.902,NULL,0,0,654,34,3576,1,0,0,8,NULL,NULL,0,0,0,0,4,3,0,3,0,"NRK Norge","NA","Norge",0,181178,21171,"ny2013"
"http://www.nrk.no/nyheter/verden/1.11415617","http://www.nrk.no/verden/1.11415617","– French har full støtte frå Noreg","2013-12-13 12:33:12","2013-12-13 13:21:42",0,2,2,2,0,"nn",42.741,NULL,0,5,592,24,3338,1,0,0,10,NULL,NULL,0,2,0,0,5,10,7,3,0,"NA","NA","Verden",0,181178,23076,"ny2013"
"http://www.nrk.no/nyheter/distrikt/troms_og_finnmark/1.11416012","http://www.nrk.no/nordnytt/1.11416012","Får ikke forlate Russland","2013-12-13 11:24:12","2013-12-13 11:26:36",0,2,2,2,0,"no",46.0156,NULL,0,6,404,19,2404,0,0,0,8,NULL,NULL,0,0,0,0,1,9,6,3,0,"NA","NA","Distrikt",0,181178,20887,"ny2013"
"http://www.nrk.no/nyheter/verden/1.11416327","http://www.nrk.no/verden/1.11416327","Regjeringen beklager tolketabbe overfor døve","2013-12-13 12:59:09",NULL,0,2,2,2,0,"no",52.3492,NULL,0,4,395,17,2401,1,0,0,10,NULL,NULL,0,2,0,0,2,10,7,3,0,"NA","NA","Verden",0,181178,22592,"ny2013"
"http://www.nrk.no/ho/nekter-for-at-hun-var-med-pa-ran-1.11415954","http://www.nrk.no/ho/1.11415954","Tror han utførte ranet, men husker ingenting","2013-12-13 12:37:45","2013-12-13 15:21:43",0,2,2,2,0,"no",40.549,NULL,0,3,562,31,3169,0,0,0,9,NULL,NULL,0,1,0,0,6,4,4,0,0,"NRK Hedmark og Oppland","NA","NA",0,181178,21119,"ny2013"
"http://www.nrk.no/nordnytt/legger-ned-distriktsarbeidsplasser-1.11416158","http://www.nrk.no/nordnytt/1.11416158","Beskylder Venstre for løgn","2013-12-13 13:04:45","2013-12-13 15:50:15",0,2,2,2,0,"no",39.9822,NULL,0,0,509,33,3060,0,0,0,8,NULL,NULL,0,0,0,0,2,6,6,0,0,"NRK Troms og Finnmark","NA","NA",0,181178,20645,"ny2013"
"http://www.nrk.no/nordnytt/hor-jardar-synge-julelat-1.11415874","http://www.nrk.no/nordnytt/1.11415874","Sangfugl tør ikke dra hjem til spysykt barn","2013-12-13 12:05:41","2013-12-13 12:31:45",0,2,2,2,0,"no",41.7707,NULL,0,4,453,23,2495,0,0,0,9,NULL,NULL,0,1,0,0,2,6,6,0,0,"NRK Troms og Finnmark","NA","NA",0,181178,20997,"ny2013"
"http://www.nrk.no/verden/kai-eide-har-besokt-french-i-kongo-1.11415617","http://www.nrk.no/verden/1.11415617","– French har full støtte frå Noreg","2013-12-13 12:33:12","2013-12-13 13:21:42",0,2,2,2,0,"nn",42.741,NULL,0,5,592,24,3338,1,0,0,10,NULL,NULL,0,2,0,0,5,10,7,3,0,"NA","NA","Verden",0,181178,23076,"ny2013"
"http://www.nrk.no/nyheter/flere-moter-med-kongo-myndigheter-i-dag-1.11416241","http://www.nrk.no/nyheter/1.11416241","Flere møter med Kongo-myndigheter i dag - NRK Nyheter","2013-12-13 13:03:35",NULL,0,1,1,1,0,"no",37.875,NULL,0,0,32,2,199,0,0,0,4,NULL,NULL,0,0,0,0,0,3,3,0,0,"NA","NA","NA",0,184903,24534,"nrk_alfa"
"http://www.nrk.no/nyheter/1.11416373","http://www.nrk.no/nyheter/1.11416373","NRK Nyheter","2013-12-13 13:00:35",NULL,0,1,1,1,0,"nb",58,NULL,0,1,8,1,57,0,0,0,5,NULL,NULL,0,1,0,0,1,3,3,0,0,"NA","NA","NA",0,184903,24257,"nrk_alfa"
